time,decision_mode,window_start,window_end,current_ti_C,current_tsp_C,mean_abs_error_C,mean_error_C,max_abs_error_C,power_mean_W,power_std_W,last_power_W,energy_kWh,error_sign_changes,Ta_now_C,Ta_future_C,Ta_mean_future_C,Ta_delta_next_1h_C,next_habit_label,next_habit_type,minutes_to_next_habit,kp_before,ki_before,kd_before,setpoint_before_C,comfort_weight_before,energy_weight_before,response_weight_before,weighted_cost_before,action,decision_source,reason,rationale,kp_after,ki_after,kd_after,setpoint_after_C,comfort_weight_after,energy_weight_after,response_weight_after,weighted_cost_after
2026-04-02 09:10:00,proactive,2026-04-02 09:05:00,2026-04-02 09:09:00,27.699201400473804,39.0,12.298494355480472,12.298494355480472,13.3151324720688,13.87777397187001,0.009808654042885938,13.862984923584628,0.0011564811643225005,0,22.86,23.64,23.00065573770493,0.7800000000000011,none,none,-1,1.0,2.5,0.0,39.0,0.34,0.33,0.33,51.42982410420104,set_cost_weights,agent,Prepare for the on-peak period by raising energy weight and slightly increasing response weight to ensure faster settling during evening_high_temperature_demand.,Prepare for the on-peak period by raising energy weight and slightly increasing response weight to ensure faster settling during evening_high_temperature_demand.,1.0,2.5,0.0,39.0,0.35,0.28,0.37,52.94177551668846
2026-04-02 09:20:00,proactive,2026-04-02 09:15:00,2026-04-02 09:19:00,32.013555578952726,39.0,7.773485175708541,7.773485175708541,8.582512305143641,13.404082132771844,0.11831109862362638,13.23158019137695,0.001117006844397654,0,22.86,23.64,23.12852459016394,0.7800000000000011,none,none,-1,1.0,2.5,0.0,39.0,0.35,0.28,0.37,21.152628245961985,set_cost_weights,agent,Raising comfort weight to prepare for evening high temperature demand and ensuring stability during sleep period.,Raising comfort weight to prepare for evening high temperature demand and ensuring stability during sleep period.,1.0,2.5,0.0,39.0,0.4,0.25,0.35,24.173645354115525
2026-04-02 09:30:00,proactive,2026-04-02 09:25:00,2026-04-02 09:29:00,35.242542485315624,39.0,4.328882399084948,4.328882399084948,4.921073665730383,12.371808677893792,0.16508986777494994,12.136883065963454,0.0010309840564911494,0,22.86,23.64,23.25639344262296,0.7800000000000011,none,none,-1,1.0,2.5,0.0,39.0,0.4,0.25,0.35,7.498313566521815,set_cost_weights,agent,"Increase comfort weight due to evening high temperature demand and upcoming on-peak hours, while reducing energy cost emphasis.","Increase comfort weight due to evening high temperature demand and upcoming on-peak hours, while reducing energy cost emphasis.",1.0,2.5,0.0,39.0,0.5,0.2,0.3,9.371713646098943
2026-04-02 09:40:00,proactive,2026-04-02 09:35:00,2026-04-02 09:39:00,37.46797227190029,39.0,1.9131914732399509,1.9131914732399509,2.311766293051299,11.173203199719733,0.16883927135198146,10.935229148113677,0.0009311002666433113,0,22.86,23.64,23.384262295081975,0.7800000000000011,none,none,-1,1.0,2.5,0.0,39.0,0.5,0.2,0.3,1.832055122333238,set_cost_weights,agent,Prepare for the on-peak period by raising energy cost weight and slightly increasing comfort to handle evening high temperature demand.,Prepare for the on-peak period by raising energy cost weight and slightly increasing comfort to handle evening high temperature demand.,1.0,2.5,0.0,39.0,0.6,0.1,0.3,2.1971541833944
2026-04-02 09:50:00,proactive,2026-04-02 09:45:00,2026-04-02 09:49:00,38.86428760594876,39.0,0.33784057417654056,0.33784057417654056,0.6075968467481658,10.012626061415638,0.1928099593927344,9.690847777269076,0.0008343855051179698,0,22.86,23.64,23.51213114754099,0.7800000000000011,none,none,-1,1.0,2.5,0.0,39.0,0.6,0.1,0.3,0.06937106016065919,set_cost_weights,agent,"Raising comfort weight due to evening high temperature demand and sleep stability preference, while maintaining energy savings focus.","Raising comfort weight due to evening high temperature demand and sleep stability preference, while maintaining energy savings focus.",1.0,2.5,0.0,39.0,0.7,0.15,0.15,0.0811744170094214
2026-04-02 10:00:00,proactive,2026-04-02 09:55:00,2026-04-02 09:59:00,39.634479322849906,39.0,0.516766862785164,-0.516766862785164,0.6344793228499057,9.09151692401298,0.11890664324056224,8.925641097751287,0.0007576264103344151,0,23.64,24.26,23.65016393442624,0.620000000000001,none,none,-1,1.0,2.5,0.0,39.0,0.7,0.15,0.15,0.18808047711253822,set_cost_weights,agent,Prepare for the evening temperature rise and reduce energy costs during peak hours.,Prepare for the evening temperature rise and reduce energy costs during peak hours.,1.0,2.5,0.0,39.0,0.8,0.1,0.1,0.2144029815659657
2026-04-02 10:10:00,proactive,2026-04-02 10:05:00,2026-04-02 10:09:00,40.07576366577425,39.0,1.0167013190731509,-1.0167013190731509,1.0757636657742466,8.250464955063874,0.10532089866361964,8.1040619052902,0.0006875387462553229,0,23.64,24.26,23.751803278688524,0.620000000000001,none,none,-1,1.0,2.5,0.0,39.0,0.8,0.1,0.1,0.8276382591101118,set_cost_weights,agent,Prepare for the upcoming on-peak hours by raising energy cost weight to minimize usage during high-tariff periods.,Prepare for the upcoming on-peak hours by raising energy cost weight to minimize usage during high-tariff periods.,1.0,2.5,0.0,39.0,0.85,0.1,0.05,0.8793196064204717
2026-04-02 10:20:00,proactive,2026-04-02 10:15:00,2026-04-02 10:19:00,40.173341719085,39.0,1.171483303218092,-1.171483303218092,1.1745453705558688,7.626509033230258,0.07200803714347459,7.526859054611361,0.0006355424194358548,0,23.64,24.26,23.85344262295082,0.620000000000001,none,none,-1,1.0,2.5,0.0,39.0,0.85,0.1,0.05,1.167153979419675,set_cost_weights,agent,Prepared for upcoming on-peak hours by raising energy cost weight,Prepared for upcoming on-peak hours by raising energy cost weight,1.0,2.5,0.0,39.0,0.85,0.1,0.05,1.167153979419675
2026-04-02 10:30:00,proactive,2026-04-02 10:25:00,2026-04-02 10:29:00,40.07333640556299,39.0,1.102493113093189,-1.102493113093189,1.1294891084679577,7.217687471228477,0.04472978390917163,7.156140366132766,0.0006014739559357064,0,23.64,24.26,23.955081967213115,0.620000000000001,none,none,-1,1.0,2.5,0.0,39.0,0.85,0.1,0.05,1.0337693713559293,set_cost_weights,agent,Prepare for the on-peak hours by raising energy weight to minimize costs during evening high-demand period.,Prepare for the on-peak hours by raising energy weight to minimize costs during evening high-demand period.,1.0,2.5,0.0,39.0,0.85,0.1,0.05,1.0337693713559293
2026-04-02 10:40:00,proactive,2026-04-02 10:35:00,2026-04-02 10:39:00,39.880036237572,39.0,0.9220884436169754,-0.9220884436169754,0.9634643899991673,6.977734535978004,0.02424369876114515,6.944684607331142,0.000581477877998167,0,23.64,24.26,24.05672131147541,0.620000000000001,none,none,-1,1.0,2.5,0.0,39.0,0.85,0.1,0.05,0.7232916557753367,set_cost_weights,agent,Prepare for the evening temperature rise and prioritize comfort to maintain warmth.,Prepare for the evening temperature rise and prioritize comfort to maintain warmth.,1.0,2.5,0.0,39.0,0.8571428571428571,0.09523809523809523,0.047619047619047616,0.7293371530170816
